sb_user,chsb_tokens,wallet_confirmed
5090,1.92,0x722b17634207B05Ae585c0D29a9E39d688A0203D
37601,1.77,0x88c4841062F5Fbe30AAF6F62bfdFE9D5b13623Fa
63820,1.00,0xE539E26e7BD65950ACaBaEb8125E293485521C39
24850,1.00,0x7EE66D1E80058f4769EA2939cBdA2309518c5891
2686,1.00,0xFaF15775a485eDFdB0a95677F6935Afdd832AB35
55518,1.25,0xA6b56b8722548FF19BCc671f733bA5A67eB19d79
5740,1.81,0xD2f757806C612999e219325e0C5bAe25A7e0C0d1
12778,1.00,0xf2ca4c0C90E251ffdF7793F732Dc6F42cC33Dec7
31476,1.07,0xF85FD40A21C826b146F882b70075A7CACf3AA8cD
35361,1.05,0x6167D96e948fBF1ae9Dc47b74E4AEB586F488af6
32173,1.93,0xe98Ca37984857aD8a9B7Dc6CfaB4c2b3ded21490
5645,1.00,0x701a9B99aB3c1AEEc0eFb22a646bdF16597aDd5d
15561,1.00,0x18f316671C86262bA1395ce0681217b7A6Da253a
32822,1.00,0xD7984d237CF84E1E332d086125F3867F20cF7537
99999,1.00,0x042dA61394Ee92c610Ed9C64C2f0F7f473f04593
99999,1.00,0x5Ab7B980d02574F2A833f944C380666e1639D3b8
99999,1.00,0x235b54FE75267f03B79c6cae48B405E8EDF26E79
99999,1.00,0x64f19Fa0543266303aa0fDFdB4d8A3845DBDFdC7
99999,1.00,0xa58Bd24042c758705dC3D2E4A6D65E3310799CE8
99999,1.50,0x2014D994888daC14566B12C1eF747B747A52cC4e
99999,1.00,0x7aDa5E78Cb394a87A35Db8e7E83fa76Cffe2486d
99999,1.50,0xd09e4C2AB4C42cA5afd1756ad5899634421ABF07
99999,1.00,0xCDca52f1C4212dB7D4c0FFCC141aF37f9bD926ed
99999,1.00,0x11817eC494bC595fcb1d859F4903A05698A33f2A
99999,1.00,0xf1e164307d593F3fBd2C74562b170F476C9eD274
99998,1.40,0xd2c81f68a917bec65bfffaaa5c6e129dcb9d0c23
99998,1.00,0xf7daAa25773592967de13e5CAe6A534c0f13Fe67
99998,1.79,0x21ab6b5E8101718d4a79097E98BB6Dd013397F9B
99998,1.29,0x6bf26A59b5950951405029Dc8e4506511071AE61
5090,1.92,0x722b17634207B05Ae585c0D29a9E39d688A0203D
37601,1.77,0x88c4841062F5Fbe30AAF6F62bfdFE9D5b13623Fa
63820,1.00,0xE539E26e7BD65950ACaBaEb8125E293485521C39
24850,1.00,0x7EE66D1E80058f4769EA2939cBdA2309518c5891
2686,1.00,0xFaF15775a485eDFdB0a95677F6935Afdd832AB35
55518,1.25,0xA6b56b8722548FF19BCc671f733bA5A67eB19d79
5740,1.81,0xD2f757806C612999e219325e0C5bAe25A7e0C0d1
12778,1.00,0xf2ca4c0C90E251ffdF7793F732Dc6F42cC33Dec7
31476,1.07,0xF85FD40A21C826b146F882b70075A7CACf3AA8cD
35361,1.05,0x6167D96e948fBF1ae9Dc47b74E4AEB586F488af6
32173,1.93,0xe98Ca37984857aD8a9B7Dc6CfaB4c2b3ded21490
5645,1.00,0x701a9B99aB3c1AEEc0eFb22a646bdF16597aDd5d
15561,1.00,0x18f316671C86262bA1395ce0681217b7A6Da253a
32822,1.00,0xD7984d237CF84E1E332d086125F3867F20cF7537
99999,1.00,0x042dA61394Ee92c610Ed9C64C2f0F7f473f04593
99999,1.00,0x5Ab7B980d02574F2A833f944C380666e1639D3b8
99999,1.00,0x235b54FE75267f03B79c6cae48B405E8EDF26E79
99999,1.00,0x64f19Fa0543266303aa0fDFdB4d8A3845DBDFdC7
99999,1.00,0xa58Bd24042c758705dC3D2E4A6D65E3310799CE8
99999,1.50,0x2014D994888daC14566B12C1eF747B747A52cC4e
99999,1.00,0x7aDa5E78Cb394a87A35Db8e7E83fa76Cffe2486d
99999,1.50,0xd09e4C2AB4C42cA5afd1756ad5899634421ABF07
99999,1.00,0xCDca52f1C4212dB7D4c0FFCC141aF37f9bD926ed
99999,1.00,0x11817eC494bC595fcb1d859F4903A05698A33f2A
99999,1.00,0xf1e164307d593F3fBd2C74562b170F476C9eD274
99998,1.40,0xd2c81f68a917bec65bfffaaa5c6e129dcb9d0c23
99998,1.00,0xf7daAa25773592967de13e5CAe6A534c0f13Fe67
99998,1.79,0x21ab6b5E8101718d4a79097E98BB6Dd013397F9B
99998,1.29,0x6bf26A59b5950951405029Dc8e4506511071AE61
5090,1.92,0x722b17634207B05Ae585c0D29a9E39d688A0203D
